    Depth        Gy       GyE       RBE        SL     Gy^-1     Gy^-2 LETm(keV/um)
     3.23     1.799     1.993     1.108     0.408     0.381     0.065       13.926
     3.24     1.799     1.993     1.108     0.408     0.381     0.065       13.929
     3.25     1.799     1.994     1.108     0.408     0.381     0.065       13.933
     3.26     1.799     1.994     1.108     0.408     0.381     0.065       13.936
     3.27     1.799     1.994     1.108     0.408     0.381     0.065       13.940
     3.28     1.800     1.994     1.108     0.408     0.381     0.065       13.943
     3.29     1.800     1.995     1.108     0.408     0.381     0.065       13.947
     3.30     1.800     1.995     1.108     0.408     0.381     0.065       13.951
     3.31     1.800     1.995     1.108     0.408     0.381     0.065       13.954
     3.32     1.800     1.995     1.108     0.408     0.381     0.065       13.958
     3.33     1.800     1.996     1.109     0.408     0.381     0.065       13.961
     3.34     1.800     1.996     1.109     0.408     0.381     0.065       13.965
     3.35     1.801     1.996     1.109     0.408     0.381     0.065       13.969
     3.36     1.801     1.997     1.109     0.408     0.381     0.065       13.972
     3.37     1.801     1.997     1.109     0.407     0.381     0.065       13.975
     3.38     1.801     1.997     1.109     0.407     0.381     0.065       13.978
     3.39     1.802     1.998     1.109     0.407     0.381     0.065       13.981
     3.40     1.802     1.998     1.109     0.407     0.381     0.065       13.985
     3.41     1.802     1.999     1.109     0.407     0.381     0.065       13.988
     3.42     1.802     1.999     1.109     0.407     0.381     0.065       13.992
     3.43     1.802     1.999     1.109     0.407     0.381     0.065       13.996
     3.44     1.802     1.999     1.109     0.407     0.381     0.065       13.999
     3.45     1.803     2.000     1.109     0.407     0.381     0.065       14.003
     3.46     1.803     2.000     1.109     0.407     0.381     0.065       14.006
     3.47     1.803     2.000     1.109     0.407     0.381     0.065       14.010
     3.48     1.803     2.001     1.110     0.407     0.381     0.065       14.014
     3.49     1.803     2.001     1.110     0.407     0.381     0.065       14.018
     3.50     1.803     2.001     1.110     0.407     0.381     0.065       14.021
     3.51     1.803     2.001     1.110     0.406     0.381     0.065       14.025
     3.52     1.804     2.002     1.110     0.406     0.381     0.065       14.029
     3.53     1.804     2.002     1.110     0.406     0.382     0.065       14.033
     3.54     1.804     2.002     1.110     0.406     0.382     0.065       14.036
     3.55     1.804     2.002     1.110     0.406     0.382     0.065       14.040
     3.56     1.804     2.003     1.110     0.406     0.382     0.065       14.043
     3.57     1.805     2.003     1.110     0.406     0.382     0.065       14.047
     3.58     1.805     2.004     1.110     0.406     0.382     0.065       14.050
     3.59     1.805     2.004     1.110     0.406     0.382     0.065       14.054
     3.60     1.805     2.005     1.110     0.406     0.382     0.065       14.057
     3.61     1.806     2.005     1.110     0.406     0.382     0.065       14.061
     3.62     1.806     2.005     1.110     0.406     0.382     0.065       14.065
     3.63     1.806     2.006     1.111     0.406     0.382     0.065       14.068
     3.64     1.806     2.006     1.111     0.405     0.382     0.065       14.072
     3.65     1.806     2.006     1.111     0.405     0.382     0.065       14.076
     3.66     1.806     2.006     1.111     0.405     0.382     0.065       14.080
     3.67     1.807     2.007     1.111     0.405     0.382     0.065       14.084
     3.68     1.807     2.007     1.111     0.405     0.382     0.065       14.087
     3.69     1.807     2.007     1.111     0.405     0.382     0.065       14.091
     3.70     1.807     2.008     1.111     0.405     0.382     0.065       14.095
     3.71     1.807     2.008     1.111     0.405     0.382     0.065       14.099
     3.72     1.807     2.008     1.111     0.405     0.382     0.065       14.103
     3.73     1.807     2.009     1.111     0.405     0.382     0.065       14.107
     3.74     1.808     2.009     1.111     0.405     0.382     0.065       14.110
     3.75     1.808     2.009     1.111     0.405     0.382     0.065       14.114
     3.76     1.808     2.010     1.111     0.405     0.382     0.065       14.118
     3.77     1.808     2.010     1.112     0.404     0.382     0.065       14.121
     3.78     1.809     2.010     1.112     0.404     0.382     0.065       14.125
     3.79     1.809     2.011     1.112     0.404     0.382     0.065       14.129
     3.80     1.809     2.011     1.112     0.404     0.382     0.065       14.132
     3.81     1.809     2.012     1.112     0.404     0.383     0.065       14.136
     3.82     1.810     2.012     1.112     0.404     0.383     0.065       14.140
     3.83     1.810     2.012     1.112     0.404     0.383     0.065       14.144
     3.84     1.810     2.013     1.112     0.404     0.383     0.065       14.148
     3.85     1.810     2.013     1.112     0.404     0.383     0.065       14.152
     3.86     1.810     2.013     1.112     0.404     0.383     0.065       14.156
     3.87     1.810     2.014     1.112     0.404     0.383     0.065       14.160
     3.88     1.811     2.014     1.112     0.404     0.383     0.065       14.164
     3.89     1.811     2.014     1.112     0.403     0.383     0.065       14.167
     3.90     1.811     2.015     1.113     0.403     0.383     0.065       14.171
     3.91     1.811     2.015     1.113     0.403     0.383     0.065       14.175
     3.92     1.811     2.015     1.113     0.403     0.383     0.065       14.179
     3.93     1.811     2.016     1.113     0.403     0.383     0.065       14.183
     3.94     1.812     2.016     1.113     0.403     0.383     0.065       14.187
     3.95     1.812     2.016     1.113     0.403     0.383     0.065       14.191
     3.96     1.812     2.017     1.113     0.403     0.383     0.065       14.195
     3.97     1.812     2.017     1.113     0.403     0.383     0.065       14.199
     3.98     1.813     2.018     1.113     0.403     0.383     0.065       14.203
     3.99     1.813     2.018     1.113     0.403     0.383     0.065       14.206
     4.00     1.813     2.019     1.113     0.402     0.383     0.065       14.210
     4.01     1.813     2.019     1.113     0.402     0.383     0.065       14.214
     4.02     1.814     2.019     1.113     0.402     0.383     0.065       14.218
     4.03     1.814     2.020     1.113     0.402     0.383     0.065       14.222
     4.04     1.814     2.020     1.114     0.402     0.383     0.065       14.226
     4.05     1.814     2.020     1.114     0.402     0.383     0.065       14.230
     4.06     1.814     2.021     1.114     0.402     0.383     0.065       14.234
     4.07     1.815     2.021     1.114     0.402     0.383     0.065       14.238
     4.08     1.815     2.021     1.114     0.402     0.384     0.065       14.243
     4.09     1.815     2.022     1.114     0.402     0.384     0.065       14.247
     4.10     1.815     2.022     1.114     0.402     0.384     0.065       14.251
     4.11     1.815     2.023     1.114     0.402     0.384     0.065       14.255
     4.12     1.816     2.023     1.114     0.402     0.384     0.065       14.259
     4.13     1.816     2.023     1.114     0.401     0.384     0.066       14.263
     4.14     1.816     2.024     1.114     0.401     0.384     0.066       14.267
     4.15     1.816     2.024     1.114     0.401     0.384     0.066       14.271
     4.16     1.816     2.024     1.114     0.401     0.384     0.066       14.275
