    Depth        Gy       GyE       RBE        SL     Gy^-1     Gy^-2 LETm(keV/um)
     9.03     0.132     0.155     1.177     0.949     0.392     0.066       14.714
     9.04     0.131     0.154     1.176     0.949     0.392     0.066       14.668
     9.05     0.131     0.154     1.175     0.949     0.391     0.066       14.637
     9.06     0.130     0.153     1.176     0.949     0.392     0.066       14.663
     9.07     0.130     0.153     1.175     0.949     0.391     0.066       14.652
     9.08     0.130     0.152     1.173     0.950     0.391     0.066       14.579
     9.09     0.129     0.152     1.172     0.950     0.390     0.066       14.532
     9.10     0.129     0.151     1.171     0.950     0.390     0.066       14.498
     9.11     0.129     0.150     1.170     0.950     0.390     0.066       14.488
     9.12     0.128     0.150     1.169     0.950     0.389     0.066       14.459
     9.13     0.128     0.150     1.169     0.950     0.389     0.066       14.456
     9.14     0.128     0.149     1.166     0.951     0.388     0.066       14.361
     9.15     0.127     0.148     1.166     0.951     0.388     0.066       14.341
     9.16     0.127     0.148     1.167     0.951     0.388     0.066       14.378
     9.17     0.126     0.147     1.166     0.951     0.388     0.066       14.349
     9.18     0.126     0.147     1.164     0.951     0.387     0.066       14.286
     9.19     0.126     0.146     1.162     0.952     0.387     0.066       14.232
     9.20     0.125     0.146     1.161     0.952     0.386     0.066       14.193
     9.21     0.125     0.145     1.161     0.952     0.386     0.066       14.193
     9.22     0.125     0.145     1.160     0.952     0.386     0.065       14.185
     9.23     0.124     0.144     1.160     0.952     0.386     0.065       14.179
     9.24     0.124     0.144     1.158     0.952     0.385     0.065       14.100
     9.25     0.124     0.143     1.157     0.953     0.385     0.065       14.074
     9.26     0.123     0.142     1.156     0.953     0.385     0.065       14.055
     9.27     0.123     0.142     1.156     0.953     0.385     0.065       14.049
     9.28     0.123     0.142     1.156     0.953     0.384     0.065       14.036
     9.29     0.122     0.141     1.154     0.953     0.384     0.065       13.976
     9.30     0.122     0.141     1.154     0.953     0.384     0.065       13.977
     9.31     0.121     0.140     1.154     0.954     0.384     0.065       13.991
     9.32     0.121     0.139     1.152     0.954     0.383     0.065       13.920
     9.33     0.121     0.139     1.151     0.954     0.383     0.065       13.888
     9.34     0.120     0.138     1.148     0.954     0.382     0.065       13.802
